objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment
"CV","143986","0","","0","1","0","0","0","0","0","0","0","","","","","","","28811934","6.52698","6.86499","1.8596","754","3141","thing","CV","2","4","60","60","60","2013","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"D-Day at Omaha Beach","29603","0","","0","1","0","0","0","0","0","0","0","","","","","","","20022241","6.94682","8.27101","3.3841","347","2166","thing","D-Day at Omaha Beach","1","2","480","480","480","2009","1,2","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"D-Day at Tarawa","67600","0","","0","0","0","0","0","0","0","0","1","2","","","","","","27638152","5.90705","8.45758","3.4091","2233","723","thing","D-Day at Tarawa","1","1","0","0","0","2014","1","1","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"D-Day Dice","101785","0","","0","1","1","0","0","0","0","0","0","","","","","","","17087765","6.60188","6.91361","2.0498","661","4467","thing","D-Day Dice","1","4","45","45","45","2012","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Dark Darker Darkest","59429","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895225","5.95027","6.66699","3.1935","2068","1454","thing","Dark Darker Darkest","2","5","120","120","120","2013","1,2,3,4,5","4,5","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Dark Horse","98443","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885227","5.78474","6.77104","2.6667","2899","435","thing","Dark Horse","1","4","90","90","90","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Darkest Night","128445","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","17140711","6.31814","7.31142","2.7586","1070","1487","thing","Darkest Night","1","4","150","150","150","2012","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Darkest Night: With an Inner Light","145056","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895206","5.93383","7.85803","2.6667","0","866","thing","Darkest Night: With an Inner Light","1","4","150","150","150","2013","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Dead Men Tell No Tales","141423","0","","0","1","0","0","0","0","0","0","0","","","","","","","30425270","6.29102","7.35841","2.4265","1122","1668","thing","Dead Men Tell No Tales","2","5","75","75","60","2015","1,2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","","0","1","0","0","0","0","0","0","0","","","","","","","26054605","7.81262","7.99081","2.9829","22","20387","thing","Dead of Winter: A Crossroads Game","2","5","210","210","45","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Defenders of the Realm","65532","7.4","","0","1","0","0","0","0","0","0","0","","","","","","","17128386","7.07865","7.41457","2.7224","250","5357","thing","Defenders of the Realm","1","4","90","90","90","2010","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition)","104162","0","","0","1","0","0","0","0","0","0","0","","","","","","","23118177","7.575","7.7841","3.1809","52","17471","thing","Descent: Journeys in the Dark (Second Edition)","2","5","120","120","120","2012","2,3,4,5","5","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – The Trollfens","143827","0","","0","1","0","0","0","0","0","0","0","","","","","","","23118190","6.5375","8.05964","3","0","3297","thing","Descent: Journeys in the Dark (Second Edition) – The Trollfens","2","5","60","60","60","2013","3,4,5","5","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Diplomacy","483","0","","0","1","0","0","0","0","0","0","0","","","","","","","28818383","6.87815","7.07831","3.3722","402","13968","thing","Diplomacy","2","7","360","360","360","1959","6,7","7","14+","No necessary in-game text","","","",,"","","","","","","","",""
"A Distant Plain","127518","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895301","6.5573","8.05345","3.5875","717","1299","thing","A Distant Plain","1","4","180","180","180","2013","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Dominion","36218","7","","0","1","0","0","0","0","0","0","0","","","","","","","10936126","7.65725","7.74177","2.3813","38","60502","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Don't Tread On Me: The American Revolution Solitaire Board Game","164655","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","24676722","5.63945","8.36667","2.5714","4461","153","thing","Don't Tread On Me: The American Revolution Solitaire Board Game","1","1","240","240","240","2014","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Doomtown: Reloaded","156714","0","","0","1","0","0","0","0","0","0","0","","","","","","","28545585","6.71224","7.61125","3.381","543","3313","thing","Doomtown: Reloaded","2","4","30","30","30","2014","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Dragonscroll","165404","0","","0","0","0","1","0","0","0","0","1","3","","","","","","25475442","5.7462","6.69681","2.1053","3196","579","thing","Dragonscroll","2","4","60","60","60","2014","2,3,4","","6+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"DreadBall: The Futuristic Sports Game","129731","0","","0","1","0","0","0","0","0","0","0","","","","","","","30030018","6.31855","7.52282","2.8451","1068","1352","thing","DreadBall: The Futuristic Sports Game","2","2","90","90","90","2012","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Dropzone Commander 2 Player Starter Set","174046","0","","0","1","0","0","0","0","0","0","0","","","","","","","31167077","0","8.3","0","0","63","thing","Dropzone Commander 2 Player Starter Set","2","2","120","0","120","2013","","","","","","","",,"","","","","","","","",""
"Duel of Ages II","129459","7.75","","0","1","0","0","0","0","0","0","0","","","","","","","19777807","6.63229","7.70056","3.32","621","1810","thing","Duel of Ages II","2","8","150","150","150","2013","2,3,4,5,6","2,4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Dungeon Twister 2: Prison","42124","0","","0","1","0","0","0","0","0","0","0","","","","","","","27638605","6.56075","7.40544","3.3191","712","2116","thing","Dungeon Twister 2: Prison","1","2","60","60","60","2009","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"DungeonQuest Revised Edition","157958","0","","0","1","1","0","0","0","0","0","0","","","","","","","25329204","6.16483","7.29729","1.9091","1413","1023","thing","DungeonQuest Revised Edition","1","4","60","60","60","2014","1,2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Dungeons & Dragons: Castle Ravenloft Board Game","59946","6.3","","0","1","0","0","0","0","0","0","0","","","","","","","11182465","6.78901","7.01026","2.5175","464","9975","thing","Dungeons & Dragons: Castle Ravenloft Board Game","1","5","60","60","60","2010","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Dungeons & Dragons: The Legend of Drizzt Board Game","91872","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885419","6.97743","7.38776","2.6341","317","7046","thing","Dungeons & Dragons: The Legend of Drizzt Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Dust","29109","6.5","","0","1","1","0","0","0","0","0","0","","","","","","","13478572","6.11688","6.51827","2.6069","1524","2280","thing","Dust","2","6","240","240","240","2007","2,3,4,5,6","4,6","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Earth Reborn","73171","8","","0","1","0","0","0","0","0","0","0","","","","","","","15587581","7.26654","7.82024","3.8686","148","4984","thing","Earth Reborn","2","4","180","180","180","2010","2,3,4","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Eclipse","72125","8.5","","0","1","0","0","0","0","0","0","0","","","","","","","16150518","7.9083","8.05255","3.6604","14","19101","thing","Eclipse","2","6","200","200","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Eclipse: Rise of the Ancients","125898","0","","0","1","0","0","0","0","0","0","0","","","","","","","17829408","7.80647","8.53815","3.6056","0","7385","thing","Eclipse: Rise of the Ancients","2","9","120","120","120","2012","2,3,4,5,6,7,8,9","4,6","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Elasund: The First City","19526","0","","0","1","1","0","0","0","0","0","0","","","","","","","17128319","6.43198","6.69451","2.7333","882","3396","thing","Elasund: The First City","2","4","90","90","60","2005","2,3,4","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Elder Sign","100423","0","","0","1","1","0","0","0","0","0","0","","","","","","","17128345","6.87313","7.00105","2.3481","404","18501","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Eldritch Horror","146021","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549702","7.70715","7.93801","3.3011","31","16720","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Emergence Event","154857","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067554","5.59248","7.07708","2.8333","5538","132","thing","Emergence Event","2","4","120","120","120","2015","2,3","","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Empire of the Sun","11825","0","","0","1","0","0","0","0","0","0","0","","","","","","","32232863","6.62797","7.83357","4.0884","626","2530","thing","Empire of the Sun","1","2","360","360","360","2005","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Empires of the Void","98347","0","","0","0","0","1","0","0","0","0","1","3","","","","","","27042292","6.08588","6.93196","2.8889","1614","1076","thing","Empires of the Void","2","4","120","120","120","2012","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"End of Empire: 1744-1782","145390","0","","0","0","0","1","0","0","0","0","1","2","","","","","","32533825","0","7.525","2.8333","0","139","thing","End of Empire: 1744-1782","2","0","360","360","360","2014","","","","","","","",,"","","","","","","","",""
"Enemy Coast Ahead: The Dambuster Raid","142889","0","","0","0","0","1","0","0","0","0","1","2","","","","","","27638476","5.83718","7.87857","3.0455","2574","636","thing","Enemy Coast Ahead: The Dambuster Raid","1","3","0","0","0","2014","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"EONS","137872","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885253","5.75154","6.93385","2.7","3151","400","thing","EONS","1","5","90","90","90","2013","1,2,3,4,5","","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Escape: The Curse of the Temple","113294","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885407","7.00871","7.15329","1.4809","295","12141","thing","Escape: The Curse of the Temple","1","5","10","10","10","2012","1,2,3,4,5","4","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Evolution","155703","0","","0","1","0","0","0","0","0","0","0","","","","","","","28463019","7.02109","7.32114","2.4625","290","6433","thing","Evolution","2","6","70","70","50","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Extra! Extra!","128011","0","","0","1","0","0","0","0","0","0","0","","","","","","","30203923","5.65926","6.79168","3.1053","4161","278","thing","Extra! Extra!","2","6","150","150","60","2015","2,3,4,5,6","4,5","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Fallen","140125","0","","0","1","1","0","0","0","0","0","0","","","","","","","26208286","6.20802","8.39546","3.0345","1303","724","thing","Fallen","2","2","90","90","90","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"A Few Acres of Snow","79828","0","","0","1","1","0","0","0","0","0","0","","","","","","","16150512","7.23286","7.46904","3.0265","161","7526","thing","A Few Acres of Snow","2","2","120","120","60","2011","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Field Commander: Alexander","35350","0","","0","0","0","0","0","0","1","0","0","","","","","","","21355356","6.13543","7.08596","2.3194","1481","1205","thing","Field Commander: Alexander","1","1","90","90","90","2009","1","1","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Field Commander: Napoleon","42673","7.4","","0","1","0","0","0","0","0","0","0","","","","","","","13835106","6.39931","7.8328","2.75","935","1277","thing","Field Commander: Napoleon","1","1","180","180","180","2011","1","1","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Field Commander: Rommel","28829","0","","0","1","0","0","0","0","0","0","0","","","","","","","28818401","6.19891","6.98238","2.4524","1316","1540","thing","Field Commander: Rommel","1","1","120","120","120","2008","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Fields of Fire","22877","8.5","","0","1","0","0","0","0","0","0","0","","","","","","","13835684","6.32203","7.51772","3.9868","1062","1317","thing","Fields of Fire","1","1","300","300","300","2008","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Fighting Formations: Grossdeutschland Motorized Infantry Division","39217","8.1","","0","1","0","0","0","0","0","0","0","","","","","","","13478543","6.48699","7.65574","3.1983","806","1692","thing","Fighting Formations: Grossdeutschland Motorized Infantry Division","2","2","180","180","180","2011","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Final Frontier","74107","0","","0","1","0","0","0","0","0","0","0","","","","","","","15587601","0","6.19474","1.6","0","75","thing","Final Frontier","2","4","45","45","45","2010","","","","","","","",,"","","","","","","","",""
"Firefly: Out to the Black","139137","0","","0","1","1","0","0","0","0","0","0","","","","","","","22053815","5.55245","5.84743","1.9286","7100","725","thing","Firefly: Out to the Black","3","5","45","45","45","2013","3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Firefly: Shiny Dice","163170","0","","0","1","0","0","0","0","0","0","0","","","","","","","30030027","5.52024","5.61814","1.9286","8714","546","thing","Firefly: Shiny Dice","1","5","30","30","30","2015","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Firefly: The Game","138161","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895392","7.08724","7.40527","2.9291","244","9296","thing","Firefly: The Game","1","4","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Five Tribes","157354","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067688","7.66543","7.84771","2.8905","37","14300","thing","Five Tribes","1","4","80","80","40","2014","2,3,4","","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Flash Point: Fire Rescue","100901","7.2","","0","1","0","0","0","0","0","0","0","","","","","","","17128480","7.18019","7.32227","2.223","192","16910","thing","Flash Point: Fire Rescue","1","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Fleet Commander: Nimitz","105023","0","","0","1","0","0","0","0","0","0","0","","","","","","","26208172","5.65231","7.05844","2.5","4249","416","thing","Fleet Commander: Nimitz","1","1","180","0","180","2014","1","1","16+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Flick 'em Up!","169124","0","","0","1","0","0","0","0","0","0","0","","","","","","","31888215","6.78213","7.41519","1.3796","469","3647","thing","Flick 'em Up!","2","10","30","30","30","2015","2,3,4,5,6","4","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Flying Colors","8730","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350885","6.28927","7.42464","2.9457","1127","1593","thing","Flying Colors","1","4","240","240","240","2005","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"For the People","833","0","","0","1","0","0","0","0","0","0","0","","","","","","","17254387","6.71614","7.63848","3.6205","536","2745","thing","For the People","2","2","360","360","360","1998","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Forbidden Desert","136063","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885381","7.21255","7.36817","2.0425","173","17925","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Foretold: Rise of a God","156224","0","","0","1","1","0","0","0","0","0","0","","","","","","","25672129","5.54685","6.46706","3.1429","7350","171","thing","Foretold: Rise of a God","2","4","60","60","60","2014","2,3,4","3","","","","","",,"","","","","","","","",""
"Forge War","146221","0","","0","1","0","0","0","0","0","0","0","","","","","","","26493476","6.50443","7.5856","3.7108","789","1601","thing","Forge War","1","4","180","180","60","2015","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Formula D","37904","0","","0","1","0","0","0","0","0","0","0","","","","","","","26208268","6.95325","7.08654","2.0016","338","13419","thing","Formula D","2","10","60","60","60","2008","3,4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Fortress America","99","6.6","","0","1","0","0","0","0","0","0","0","","","","","","","13478616","6.34009","6.70689","2.6368","1037","3003","thing","Fortress America","2","4","180","180","180","1986","2,3,4","2,4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Fortune and Glory: The Cliffhanger Game","95103","0","","0","1","1","0","0","0","0","0","0","","","","","","","21355349","6.68045","7.12286","2.8387","561","3899","thing","Fortune and Glory: The Cliffhanger Game","1","8","90","90","90","2011","1,2,3,4,5,6","3","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Frag","2025","5.6","","2","1","1","0","0","0","0","0","0","","","It is not bad for what it is, a mindless shooter.  This will appeal to hard core gamers the way Halo appeals to Oblivion fans.","","","","11455807","5.63721","5.75262","1.7871","4505","2644","thing","Frag","2","6","30","30","30","2001","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Freedom: The Underground Railroad","119506","0","","0","1","0","0","0","0","0","0","0","","","","","","","22053632","7.03487","7.66928","2.876","281","3084","thing","Freedom: The Underground Railroad","1","4","120","120","60","2012","1,2,3,4","","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Friday","43570","0","","0","1","0","0","0","0","0","0","0","","","","","","","27638214","7.06108","7.2656","2.1106","266","11222","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Frontline: D-Day","39383","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350943","5.84665","6.75519","2.4746","2523","702","thing","Frontline: D-Day","1","4","60","60","60","2010","1,2,3,4","1,2","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Galaxy Command","177411","0","","0","1","0","0","0","0","0","0","0","","","","","","","29775191","5.50132","5.51562","1.5","9618","135","thing","Galaxy Command","1","4","45","45","10","2015","","","","","","","",,"","","","","","","","",""
"Galaxy Defenders","138431","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885654","6.59744","7.62327","3.1149","664","1963","thing","Galaxy Defenders","1","5","120","120","120","2014","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"The Game of France, 1940: German Blitzkrieg in the West","746","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128506","5.53679","5.65781","2.806","7822","1032","thing","The Game of France, 1940: German Blitzkrieg in the West","2","2","180","180","180","1972","2","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","0","","0","1","0","0","0","0","0","0","0","","","","","","","27884958","7.58273","7.77208","3.6122","51","17505","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"A Game of Thrones: The Card Game","39953","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885077","6.79651","7.05298","3.2284","460","8030","thing","A Game of Thrones: The Card Game","2","4","60","60","60","2008","2,3,4","2,4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"A Game of Thrones: The Card Game (Second Edition)","169255","0","","0","1","0","0","0","0","0","0","0","","","","","","","33720003","6.96244","8.22589","3.3077","331","2237","thing","A Game of Thrones: The Card Game (Second Edition)","2","4","120","120","60","2015","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Gary Gouda","104775","7","","0","1","0","0","0","0","0","0","0","","","","","","","29894721","5.53131","6.19167","1","8120","94","thing","Gary Gouda","2","6","10","10","10","2011","2,3","","3–12","No necessary in-game text","","","",,"","","","","","","","",""
"Gears of War: The Board Game","42776","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","13835687","7.07483","7.51397","2.8832","252","5505","thing","Gears of War: The Board Game","1","4","180","180","180","2011","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Gearworld: The Borderlands","137669","0","","0","1","1","0","0","0","0","0","0","","","","","","","27885291","5.5321","5.63014","2.8889","8072","873","thing","Gearworld: The Borderlands","2","4","120","120","60","2013","3,4","","12","No necessary in-game text","","","",,"","","","","","","","",""
"Genesis: Empires and Kingdoms of the Ancient Middle East","86177","0","","0","1","0","0","0","0","0","0","0","","","","","","","29765782","5.72648","7.48939","2.8235","3358","447","thing","Genesis: Empires and Kingdoms of the Ancient Middle East","2","5","600","600","450","2015","2,3,4,5","4","","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Ghost Stories","37046","6.8","","0","1","1","0","0","0","0","0","0","","","","","","","13478638","7.26823","7.40273","2.8858","147","15439","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Ghostbusters: The Board Game","173275","0","","0","1","1","0","0","0","0","0","0","","","","","","","31630166","5.82584","6.76173","2.2593","2636","1247","thing","Ghostbusters: The Board Game","1","4","120","120","30","2015","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Global Mogul","143782","0","","0","1","0","0","0","0","0","0","0","","","","","","","20453546","5.73154","7.06385","3.4783","3305","241","thing","Global Mogul","1","4","120","120","60","2013","3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Gloom","12692","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350965","6.26153","6.39955","1.6368","1181","14168","thing","Gloom","2","5","60","60","60","2005","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"The Golden Ages","164338","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067691","6.56086","7.43619","2.9468","711","1349","thing","The Golden Ages","2","4","90","90","90","2014","2,3,4","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Golem Arcana","146725","0","","0","1","1","0","0","0","0","0","0","","","","","","","30519125","5.97268","7.33268","2.7556","1971","824","thing","Golem Arcana","2","8","45","45","45","2014","2,3,4","2","8+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Grand Conquest","28678","0","","0","0","0","0","0","0","0","0","1","4","","","","","","27271532","5.66098","7.9545","3.25","4134","164","thing","Grand Conquest","2","4","60","60","60","2006","2,4","2,4","10","No necessary in-game text","","","",,"","","","","","","","",""
"Grant's Gamble","185383","0","","0","1","0","0","0","0","0","0","0","","","","","","","33284759","0","8","2","0","37","thing","Grant's Gamble","1","2","120","120","30","2015","","","","","","","",,"","","","","","","","",""
"Gravwell: Escape from the 9th Dimension","142992","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725328","6.55411","7.07236","1.7629","722","2337","thing","Gravwell: Escape from the 9th Dimension","1","4","20","20","20","2013","2,3,4","3,4","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Greenland","156501","0","","0","1","0","0","0","0","0","0","0","","","","","","","32273052","6.21594","7.20286","3.1912","1276","1771","thing","Greenland","1","3","120","120","60","2014","1,2,3","3","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Ground Floor","38765","0","","0","1","0","0","0","0","0","0","0","","","","","","","18511356","6.57157","7.19854","3.7097","692","2030","thing","Ground Floor","2","6","150","150","90","2012","2,3,4,5,6","4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Guillotine","116","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725557","6.43797","6.53115","1.2779","872","17748","thing","Guillotine","2","5","30","30","30","1998","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"The Guns of Gettysburg","36400","0","","0","0","0","0","0","0","0","0","0","","","","","","","20895405","6.31939","7.95485","3.6316","1066","1393","thing","The Guns of Gettysburg","2","4","180","180","180","2013","2","2","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Gunship: First Strike!","109215","0","","0","1","1","0","0","0","0","0","0","","","","","","","27901167","5.60645","6.11847","2.4167","5162","787","thing","Gunship: First Strike!","2","4","30","30","30","2013","2,3,4","2","12","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Le Havre","35677","8.5","","0","1","1","0","0","0","0","0","0","","","","","","","10936101","7.85103","7.96205","3.7568","20","17641","thing","Le Havre","1","5","200","200","100","2008","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Healthy Heart Hospital","186721","0","","0","0","0","1","0","0","0","0","0","","","","","","","32816599","5.60701","7.5401","2.4286","5147","128","thing","Healthy Heart Hospital","1","5","90","90","60","2015","1,2,3,4,5","1,2","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Heavy Steam","149169","0","","0","1","1","0","0","0","0","0","0","","","","","","","29120711","5.61779","7.20339","3","4885","208","thing","Heavy Steam","2","4","120","120","120","2015","2,4","","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Hegemonic","92666","0","","0","1","1","0","0","0","0","0","0","","","","","","","27885180","6.03661","7.03656","3.6222","1748","1182","thing","Hegemonic","2","6","180","180","180","2013","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Heroes of Normandie","53093","0","","0","1","0","0","0","0","0","0","0","","","","","","","24395784","6.62462","7.77457","2.6577","634","2327","thing","Heroes of Normandie","2","2","60","60","30","2014","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"High and Tight","109825","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128474","0","6.54474","2","0","43","thing","High and Tight","2","2","60","60","60","2011","2","2","","","","","",,"","","","","","","","",""
"High Frontier","47055","0","","0","1","1","0","0","0","0","0","0","","","","","","","24725426","6.72096","7.47461","4.2327","529","2285","thing","High Frontier","2","5","180","180","180","2010","1,2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
